fixture_id,league_id,season,round,home_team,away_team,goals_home,goals_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,corner_kicks_home,corner_kicks_away
1149590,13,2024,2nd Round,Rionegro Aguilas,RB Bragantino,0.0,0.0,2.0,3.0,,,2,6
1149591,13,2024,2nd Round,RB Bragantino,Rionegro Aguilas,0.0,0.0,4.0,4.0,,,7,3
1149592,13,2024,2nd Round,Always Ready,Sporting Cristal,6.0,1.0,2.0,5.0,0.0,2.0,3,2
1149593,13,2024,2nd Round,Sporting Cristal,Always Ready,3.0,1.0,4.0,2.0,,,14,0
1149594,13,2024,2nd Round,Godoy Cruz,Colo Colo,0.0,1.0,1.0,2.0,,,2,4
1149595,13,2024,2nd Round,Colo Colo,Godoy Cruz,0.0,0.0,3.0,4.0,,,1,3
1149596,13,2024,2nd Round,Sportivo Trinidense,El Nacional,1.0,1.0,2.0,3.0,,,4,3
1149597,13,2024,2nd Round,El Nacional,Sportivo Trinidense,0.0,1.0,3.0,8.0,,,6,7
1149598,13,2024,2nd Round,Portuguesa FC,Palestino,1.0,2.0,1.0,1.0,,,9,2
1149599,13,2024,2nd Round,Palestino,Portuguesa FC,2.0,1.0,,,,,1,4
1149600,13,2024,1st Round,Puerto Cabello,Defensor Sporting,3.0,2.0,4.0,3.0,,,2,1
1149601,13,2024,1st Round,Defensor Sporting,Puerto Cabello,1.0,0.0,3.0,5.0,0.0,1.0,7,1
1149602,13,2024,1st Round,Aurora,FBC Melgar,1.0,0.0,2.0,3.0,0.0,1.0,2,5
1149603,13,2024,1st Round,FBC Melgar,Aurora,1.0,1.0,3.0,6.0,0.0,2.0,8,0
1149604,13,2024,1st Round,Aucas,Nacional Asuncion,1.0,0.0,3.0,5.0,,,6,4
1149605,13,2024,1st Round,Nacional Asuncion,Aucas,3.0,0.0,0.0,0.0,0.0,0.0,0,0
1174580,13,2024,2nd Round,Puerto Cabello,Club Nacional,0.0,2.0,4.0,3.0,1.0,0.0,3,6
1174581,13,2024,2nd Round,Club Nacional,Puerto Cabello,2.0,0.0,0.0,3.0,,,4,0
1174582,13,2024,2nd Round,Aurora,Botafogo,1.0,1.0,3.0,3.0,0.0,0.0,6,2
1174583,13,2024,2nd Round,Botafogo,Aurora,6.0,0.0,2.0,5.0,,,0,3
1174742,13,2024,2nd Round,Nacional Asuncion,Atletico Nacional,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1174743,13,2024,2nd Round,Atletico Nacional,Nacional Asuncion,0.0,3.0,0.0,0.0,0.0,0.0,0,0
1178189,13,2024,3rd Round,Botafogo,RB Bragantino,2.0,1.0,1.0,1.0,,,2,0
1178190,13,2024,3rd Round,RB Bragantino,Botafogo,1.0,1.0,1.0,5.0,0.0,1.0,10,4
1178191,13,2024,3rd Round,Nacional Asuncion,Palestino,0.0,2.0,5.0,1.0,,,4,4
1178192,13,2024,3rd Round,Palestino,Nacional Asuncion,1.0,3.0,0.0,0.0,0.0,0.0,0,0
1178193,13,2024,3rd Round,Always Ready,Club Nacional,1.0,0.0,1.0,5.0,,,6,0
1178194,13,2024,3rd Round,Club Nacional,Always Ready,2.0,1.0,5.0,4.0,1.0,0.0,8,3
1180019,13,2024,3rd Round,Sportivo Trinidense,Colo Colo,1.0,1.0,2.0,4.0,,,2,11
1180020,13,2024,3rd Round,Colo Colo,Sportivo Trinidense,2.0,1.0,2.0,3.0,,,4,5
1187185,13,2024,Group Stage - 1,Cobresal,Barcelona SC,1.0,1.0,0.0,3.0,,,5,4
1187186,13,2024,Group Stage - 1,Millonarios,Flamengo,1.0,1.0,1.0,1.0,1.0,0.0,5,4
1187187,13,2024,Group Stage - 1,The Strongest,Gremio,2.0,0.0,2.0,0.0,,,5,4
1187188,13,2024,Group Stage - 1,Deportivo Tachira FC,River Plate,0.0,2.0,2.0,2.0,,,4,2
1187189,13,2024,Group Stage - 1,Universitario,LDU de Quito,2.0,1.0,3.0,2.0,,,1,1
1187190,13,2024,Group Stage - 1,Club Nacional,Libertad Asuncion,2.0,0.0,1.0,2.0,,,5,4
1187191,13,2024,Group Stage - 1,Botafogo,Junior,1.0,3.0,2.0,3.0,,,5,3
1187192,13,2024,Group Stage - 1,Huachipato,Estudiantes L.P.,1.0,1.0,1.0,2.0,,,2,4
1187193,13,2024,Group Stage - 1,Colo Colo,Cerro Porteno,1.0,0.0,2.0,4.0,,,1,3
1187194,13,2024,Group Stage - 1,San Lorenzo,Palmeiras,1.0,1.0,6.0,4.0,,,5,5
1187195,13,2024,Group Stage - 1,Alianza Lima,Fluminense,1.0,1.0,2.0,1.0,,,1,2
1187196,13,2024,Group Stage - 1,Caracas FC,Atletico-MG,1.0,4.0,,,,,4,2
1187197,13,2024,Group Stage - 1,Rosario Central,Penarol,1.0,0.0,3.0,4.0,,,5,4
1187198,13,2024,Group Stage - 1,Liverpool Montevideo,Independiente del Valle,1.0,1.0,1.0,2.0,1.0,0.0,3,2
1187199,13,2024,Group Stage - 1,Talleres Cordoba,Sao Paulo,2.0,1.0,4.0,2.0,,,0,5
1187200,13,2024,Group Stage - 1,Palestino,Bolívar,0.0,4.0,6.0,1.0,1.0,0.0,8,6
1187201,13,2024,Group Stage - 2,Estudiantes L.P.,The Strongest,2.0,1.0,1.0,1.0,0.0,1.0,10,3
1187202,13,2024,Group Stage - 2,Gremio,Huachipato,0.0,2.0,2.0,3.0,,,4,3
