fixture_id,league_id,home_team,away_team,goals_home,goals_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,corner_kicks_home,corner_kicks_away
1149590,13,Rionegro Aguilas,RB Bragantino,0.0,0.0,2.0,3.0,,,2,6
1149591,13,RB Bragantino,Rionegro Aguilas,0.0,0.0,4.0,4.0,,,7,3
1149592,13,Always Ready,Sporting Cristal,6.0,1.0,2.0,5.0,0.0,2.0,3,2
1149593,13,Sporting Cristal,Always Ready,3.0,1.0,4.0,2.0,,,14,0
1149594,13,Godoy Cruz,Colo Colo,0.0,1.0,1.0,2.0,,,2,4
1149595,13,Colo Colo,Godoy Cruz,0.0,0.0,3.0,4.0,,,1,3
1149596,13,Sportivo Trinidense,El Nacional,1.0,1.0,2.0,3.0,,,4,3
1149597,13,El Nacional,Sportivo Trinidense,0.0,1.0,3.0,8.0,,,6,7
1149598,13,Portuguesa FC,Palestino,1.0,2.0,1.0,1.0,,,9,2
1149599,13,Palestino,Portuguesa FC,2.0,1.0,,,,,1,4
1149600,13,Puerto Cabello,Defensor Sporting,3.0,2.0,4.0,3.0,,,2,1
1149601,13,Defensor Sporting,Puerto Cabello,1.0,0.0,3.0,5.0,0.0,1.0,7,1
1149602,13,Aurora,FBC Melgar,1.0,0.0,2.0,3.0,0.0,1.0,2,5
1149603,13,FBC Melgar,Aurora,1.0,1.0,3.0,6.0,0.0,2.0,8,0
1149604,13,Aucas,Nacional Asuncion,1.0,0.0,3.0,5.0,,,6,4
1149605,13,Nacional Asuncion,Aucas,3.0,0.0,0.0,0.0,0.0,0.0,0,0
1174580,13,Puerto Cabello,Club Nacional,0.0,2.0,4.0,3.0,1.0,0.0,3,6
1174581,13,Club Nacional,Puerto Cabello,2.0,0.0,0.0,3.0,,,4,0
1174582,13,Aurora,Botafogo,1.0,1.0,3.0,3.0,0.0,0.0,6,2
1174583,13,Botafogo,Aurora,6.0,0.0,2.0,5.0,,,0,3
1174742,13,Nacional Asuncion,Atletico Nacional,1.0,0.0,0.0,0.0,0.0,0.0,0,0
1174743,13,Atletico Nacional,Nacional Asuncion,0.0,3.0,0.0,0.0,0.0,0.0,0,0
1178189,13,Botafogo,RB Bragantino,2.0,1.0,1.0,1.0,,,2,0
1178190,13,RB Bragantino,Botafogo,1.0,1.0,1.0,5.0,0.0,1.0,10,4
1178191,13,Nacional Asuncion,Palestino,0.0,2.0,5.0,1.0,,,4,4
